"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"38","218.0939142593602","184.44942484508607","0.0712890625","0.06591796875","0.07666015625","1560","0.00026712658471464965","32","0.00026712658471464965","0","0.00026712658471464965","0.00026712658471464965","53:0.17243919666440613;39:0.001702546769434654","53:68;39:68","Yes","53:0.15830087539960042;39:0.0035733919846737128"
"39","155.93893048935237","189.37878010553456","0.04052734375","0.0302734375","0.05078125","1560","0.00021325495621930322","32","0.00021325495621930322","0","0.00021325495621930322","0.00021325495621930322","38:0.001702546769434654;40:0.002567805693845321","38:68;40:68","Yes","38:0.0035733919846737128;40:0.00328420333884466"
"40","246.1633104888277","215.05299016444891","0.01806640625","0.0146484375","0.021484375","1560","0.0002836836495918181","32","0.0002836836495918181","0","0.0002836836495918181","0.0002836836495918181","41:0.015490916423055168;34:0.0018450177847106342;39:0.002567805693845321","41:68;34:96;39:68","Yes","41:0.021976325264542296;34:0.0027821379116184375;39:0.00328420333884466"
"41","68.67947089898648","50.60510178237144","0.02685546875","0.04296875","0.0107421875","1560","0.003627140369442442","32","0.003627140369442442","0","0.003627140369442442","0.003627140369442442","40:0.015490916423055168;42:0.02042583299608952","40:68;42:68","Yes","40:0.021976325264542296;42:0.012161979221445213"
"42","244.5702778186439","147.19499066821058","0.179931640625","0.20166015625","0.158203125","1560","0.0004153552732225873","32","0.0004153552732225873","0","0.0004153552732225873","0.0004153552732225873","41:0.02042583299608952;43:0.0018516413160620249;54:0.0027980793835921114","41:68;43:68;54:80","Yes","41:0.012161979221445213;43:0.005613583962570667;54:0.003399052011893583"
"43","102.80657927079304","107.20628529240227","0.009521484375","0.00732421875","0.01171875","1560","0.00022878505635707885","32","0.00022878505635707885","0","0.00022878505635707885","0.00022878505635707885","42:0.0018516413160620249;44:0.0017875087349669694","42:68;44:68","Yes","42:0.005613583962570667;44:0.002818814415251808"
"44","228.35479693501378","216.04348110945787","0.013671875","0.00830078125","0.01904296875","1560","0.00012235944333624486","32","0.00012235944333624486","0","0.00012235944333624486","0.00012235944333624486","45:0.004594570948433185;35:0.0017334908758588063;43:0.0017875087349669694","45:68;35:108;43:68","Yes","45:0.004556136449309189;35:0.0035613101674511205;43:0.002818814415251808"
"45","51.60559391471266","55.40852463758819","0.010009765625","0.0126953125","0.00732421875","1560","0.0003391448183196498","32","0.0003391448183196498","0","0.0003391448183196498","0.0003391448183196498","44:0.004594570948433185;46:0.004255099729055994","44:68;46:68","Yes","44:0.004556136449309189;46:0.011015584125385114"
"46","98.09860530385735","74.74440563672799","0.032470703125","0.046875","0.01806640625","1560","0.00025001445603319716","32","0.00025001445603319716","0","0.00025001445603319716","0.00025001445603319716","45:0.004255099729055994;47:0.0026779766548487294;55:0.0024042026991043797","45:68;47:68;55:68","Yes","45:0.011015584125385114;47:0.008564283845411719;55:0.003643809966850098"
"47","250.50243891219017","61.350259967613546","0.01611328125","0.0302734375","0.001953125","1560","0.00034537355283528536","32","0.00034537355283528536","0","0.00034537355283528536","0.00034537355283528536","48:0.001810054343690165;46:0.0026779766548487294","48:68;46:68","Yes","48:0.005271823859050506;46:0.008564283845411719"
"48","173.7502256240478","161.55730597138717","0.03515625","0.04345703125","0.02685546875","1560","0.00032995410961358837","32","0.00032995410961358837","0","0.00032995410961358837","0.00032995410961358837","36:0.0022521856355564585;47:0.001810054343690165;49:0.0029414730598437133","36:68;47:68;49:68","Yes","36:0.005343729247809237;47:0.005271823859050506;49:0.003300145854681219"
"49","136.36141949296712","91.60231922005585","0.017333984375","0.01904296875","0.015625","1560","0.0005670294305556719","32","0.0005670294305556719","0","0.0005670294305556719","0.0005670294305556719","48:0.0029414730598437133;50:0.0032257470334265126","48:68;50:68","Yes","48:0.003300145854681219;50:0.0026491762611607905"
"50","174.55819105264433","187.9271177623939","0.0810546875","0.09375","0.068359375","1560","0.00022784117046247088","32","0.00022784117046247088","0","0.00022784117046247088","0.00022784117046247088","56:0.0023496742962859918;49:0.0032257470334265126;51:0.001851380263246244","56:68;49:68;51:68","Yes","56:0.0025303153687461777;49:0.0026491762611607905;51:0.00268464237266991"
"51","280.0414720831761","168.14108892830487","0.011474609375","0.0166015625","0.00634765625","1560","0.0001757606792702801","32","0.0001757606792702801","0","0.0001757606792702801","0.0001757606792702801","50:0.001851380263246244;52:0.0022106517236527012","50:68;52:68","Yes","50:0.00268464237266991;52:0.0033299173996220732"
"52","154.75366117394586","172.6347881886941","0.014404296875","0.01123046875","0.017578125","1560","0.00033976672677913744","32","0.00033976672677913744","0","0.00033976672677913744","0.00033976672677913744","51:0.0022106517236527012;37:0.001917605591622601","51:68;37:104","Yes","51:0.0033299173996220732;37:0.004498055366055492"
"53","24.403349705979803","62.413003713541706","0.138427734375","0.15673828125","0.1201171875","1560","","32","","0","","","38:0.17243919666440613;57:0.05099877139194517","38:68;57:108","Yes","38:0.15830087539960042;57:0.24937646920687287"
"54","148.23742069398955","146.96347360321263","0.0048828125","0.005859375","0.00390625","1560","0.0003707423234916484","32","0.0003707423234916484","0","0.0003707423234916484","0.0003707423234916484","42:0.0027980793835921114;61:0.00466169129795499","42:80;61:152","Yes","42:0.003399052011893583;61:0.011667560609355893"
"55","156.65694710861814","125.32037758803479","0.00634765625","0.0078125","0.0048828125","1560","0.00023149399165176956","32","0.00023149399165176956","0","0.00023149399165176956","0.00023149399165176956","65:0.0024728291880049824;46:0.0024042026991043797","65:120;46:68","Yes","65:0.003908784632214085;46:0.003643809966850098"
"56","249.27748702810914","185.6609013855114","0.01123046875","0.01171875","0.0107421875","1560","0.00027061286786943386","32","0.00027061286786943386","0","0.00027061286786943386","0.00027061286786943386","50:0.0023496742962859918;69:0.00848903005587956","50:68;69:160","Yes","50:0.0025303153687461777;69:0.010740288378055018"
"57","176.00949755101075","229.81195034908419","0.05126953125","0.06787109375","0.03466796875","1560","0.001873637053792698","32","0.001873637053792698","0","0.001873637053792698","0.001873637053792698","53:0.05099877139194517;58:0.002508270333886703","53:108;58:68","Yes","53:0.24937646920687287;58:0.004772642044429787"
"58","162.2022854618569","154.92721268748983","0.016845703125","0.01904296875","0.0146484375","1560","0.00033443970511309325","32","0.00033443970511309325","0","0.00033443970511309325","0.00033443970511309325","57:0.002508270333886703;59:0.002394130475049161","57:68;59:68","Yes","57:0.004772642044429787"
"59","156.33875487948652","124.25160109228709","0.037841796875","0.05859375","0.01708984375","1560","0.00024839405852678133","32","0.00024839405852678133","0","0.00024839405852678133","0.00024839405852678133","72:0.001963871937330025;58:0.002394130475049161;60:0.0023500008122872285","72:68;58:68;60:68","Yes","72:0.002492792970479274"
"60","122.18025785398008","171.90742503424502","0.006591796875","0.0087890625","0.00439453125","1560","0.0002792716827855393","32","0.0002792716827855393","0","0.0002792716827855393","0.0002792716827855393","61:0.001884828074208672;59:0.0023500008122872285","61:68;59:68","Yes","61:0.004351134921631111"
"61","188.1667368458379","161.36079769191656","0.014404296875","0.01708984375","0.01171875","1560","0.00024466431560909606","32","0.00024466431560909606","0","0.00024466431560909606","0.00024466431560909606","60:0.001884828074208672;62:0.0018253052282144189;54:0.00466169129795499","60:68;62:68;54:152","Yes","60:0.004351134921631111;62:0.005712712980562307;54:0.011667560609355893"
"62","168.0878162997403","113.18049078284561","0.019775390625","0.017578125","0.02197265625","1560","0.0003169969592543454","32","0.0003169969592543454","0","0.0003169969592543454","0.0003169969592543454","61:0.0018253052282144189;63:0.004400667052246787","61:68;63:164","Yes","61:0.005712712980562307;63:0.005263528129780731"
"63","253.88195997196294","120.46236120245415","0.0341796875","0.05224609375","0.01611328125","1560","0.0006824228087565062","32","0.0006824228087565062","0","0.0006824228087565062","0.0006824228087565062","62:0.004400667052246787;64:0.0019258998613588818;73:0.002940410573968266","62:164;64:68;73:88","Yes","62:0.005263528129780731;64:0.0064161625271235145;73:0.005296018087977222"
"64","134.89692137761372","108.43433806963297","0.069580078125","0.064453125","0.07470703125","1560","0.00015305123480052442","32","0.00015305123480052442","0","0.00015305123480052442","0.00015305123480052442","65:0.0020069379346945304;63:0.0019258998613588818","65:68;63:68","Yes","63:0.0064161625271235145"
